,id,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,day,valence,year,duration-min,mode*tempo,month,rp>0,rp>1,rp>2,rp>3,year>=2000,year<=1960,year<=1980,year<=2000,year<=2010,year<=2020,regression_popularity
0,2015.0,0.9490000000000001,0.235,0.0276,0.0,0.927,5.0,0.513,-27.398000000000003,1.0,1.0,0.0398,1947.0,3.0,110.838,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,15901.0,0.855,0.456,0.485,0.0,0.0884,4.0,0.151,-10.046,1.0,13.0,0.8590000000000001,2020.0,2.4,152.066,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,9002.0,0.8270000000000001,0.495,0.499,0.0,0.0,0.0,0.401,-8.009,0.0,1.0,0.7090000000000001,1950.0,2.6,-108.00399999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6734.0,0.654,0.643,0.469,0.0,0.10800000000000001,7.0,0.218,-15.917,1.0,30.0,0.9640000000000001,1974.0,2.4,83.63600000000001,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,15563.0,0.738,0.705,0.311,0.0,0.0,5.0,0.322,-12.344000000000001,1.0,1.0,0.785,1973.0,3.4,117.26,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
5,14384.0,0.898,0.498,0.442,0.0,0.0031899999999999997,10.0,0.0974,-9.481,1.0,1.0,0.355,1968.0,2.6,109.619,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,954.0,0.259,0.62,0.758,0.0,0.00132,5.0,0.41600000000000004,-8.183,1.0,13.0,0.912,1942.0,2.4,119.258,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,5930.0,0.124,0.879,0.628,1.0,0.0,1.0,0.0661,-6.667999999999999,0.0,1.0,0.721,2005.0,3.5,-150.105,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
8,11900.0,0.149,0.6970000000000001,0.184,1.0,0.0,2.0,0.0763,-23.303,0.0,1.0,0.613,1945.0,1.6,-133.997,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,14498.0,0.47,0.5870000000000001,0.5660000000000001,0.0,0.0,9.0,0.0644,-9.932,1.0,1.0,0.529,1999.0,7.7,76.054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
10,2411.0,0.02,0.6709999999999999,0.8079999999999999,0.0,0.0,2.0,0.134,-4.861000000000001,0.0,16.0,0.637,2011.0,3.4,-121.956,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
11,13448.0,3.3600000000000004e-05,0.496,0.8340000000000001,0.0,0.0344,2.0,0.127,-6.626,0.0,14.0,0.484,2018.0,1.5,-131.998,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,5068.0,0.0878,0.628,0.685,0.0,0.0136,7.0,0.0542,-14.747,1.0,1.0,0.813,1969.0,3.4,134.32399999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,12068.0,0.624,0.66,0.746,0.0,1.49e-06,11.0,0.946,-7.696000000000001,0.0,1.0,0.797,1980.0,4.1,-123.74700000000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
14,6431.0,0.426,0.615,0.831,0.0,7.26e-05,1.0,0.184,-9.394,1.0,1.0,0.914,1988.0,3.2,135.114,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
15,3217.0,0.002,0.19699999999999998,0.6609999999999999,0.0,0.00466,9.0,0.235,-8.954,1.0,8.0,0.39899999999999997,1974.0,4.4,172.274,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,10140.0,0.0145,0.815,0.513,0.0,0.000102,1.0,0.14,-8.363,1.0,17.0,0.17,2020.0,4.9,96.98200000000001,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
17,2714.0,0.565,0.725,0.426,0.0,2.33e-06,9.0,0.11,-13.065999999999999,1.0,24.0,0.7909999999999999,1993.0,3.8,110.262,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
18,1332.0,0.809,0.353,0.39299999999999996,0.0,3.45e-05,5.0,0.687,-10.853,0.0,1.0,0.24100000000000002,1958.0,32.0,-132.14600000000002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,10348.0,0.434,0.897,0.6459999999999999,0.0,0.29100000000000004,3.0,0.0912,-6.398,0.0,1.0,0.45399999999999996,1987.0,4.7,-113.774,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
20,7295.0,0.0033299999999999996,0.488,0.9590000000000001,0.0,0.0767,9.0,0.025,-5.575,1.0,1.0,0.67,1984.0,4.2,166.799,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
21,12512.0,0.519,0.741,0.615,0.0,0.000344,0.0,0.40700000000000003,-8.072000000000001,1.0,1.0,0.799,1967.0,2.8,128.496,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
22,402.0,0.725,0.6509999999999999,0.0867,0.0,6.54e-05,5.0,0.16899999999999998,-18.882,1.0,1.0,0.54,1926.0,3.1,87.221,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
23,12429.0,0.8190000000000001,0.49700000000000005,0.132,0.0,2.96e-06,4.0,0.0883,-18.248,1.0,1.0,0.47200000000000003,1959.0,3.2,129.403,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,15122.0,0.00024700000000000004,0.8029999999999999,0.7809999999999999,0.0,0.895,4.0,0.0831,-8.687999999999999,0.0,6.0,0.743,2011.0,8.6,-124.014,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
25,4446.0,3.41e-05,0.537,0.98,1.0,0.337,11.0,0.9670000000000001,-7.644,0.0,19.0,0.34700000000000003,2014.0,4.0,-139.998,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26,9408.0,0.0686,0.5479999999999999,0.72,0.0,0.00023199999999999997,1.0,0.107,-9.777000000000001,0.0,1.0,0.45799999999999996,1977.0,3.8,-140.966,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
27,5041.0,0.0377,0.523,0.8320000000000001,0.0,1.55e-06,6.0,0.7559999999999999,-5.996,1.0,6.0,0.509,2020.0,5.8,96.92299999999999,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
28,10586.0,0.787,0.631,0.28,0.0,0.332,7.0,0.205,-18.542,1.0,1.0,0.556,1964.0,3.9,76.529,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
29,8176.0,0.557,0.8079999999999999,0.508,0.0,0.0,0.0,0.0578,-6.428999999999999,0.0,27.0,0.82,2005.0,4.2,-130.999,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
