,id,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,release_date,speechiness,tempo,valence,year,duration-min,popularity,mode*tempo,month,month_name,regression_popularity,rp>0,rp>1,rp>2,rp>3
0,2015,0.9490000000000001,0.235,0.0276,0,0.927,5,0.513,-27.398000000000003,Major,01-01-1947,0.0381,110.838,0.0398,1947,3.0,very low,110.838,1,January,0,0,0,0,0
1,15901,0.855,0.456,0.485,0,0.0884,4,0.151,-10.046,Major,13-11-2020,0.0437,152.066,0.8590000000000001,2020,2.4,low,152.066,11,November,1,1,0,0,0
2,9002,0.8270000000000001,0.495,0.499,0,0.0,0,0.401,-8.009,Minor,01-01-1950,0.0474,108.00399999999999,0.7090000000000001,1950,2.6,very low,-108.00399999999999,1,January,0,0,0,0,0
3,6734,0.654,0.643,0.469,0,0.10800000000000001,7,0.218,-15.917,Major,30-04-1974,0.0368,83.63600000000001,0.9640000000000001,1974,2.4,low,83.63600000000001,4,April,1,1,0,0,0
4,15563,0.738,0.705,0.311,0,0.0,5,0.322,-12.344000000000001,Major,01-01-1973,0.0488,117.26,0.785,1973,3.4,average,117.26,1,January,2,1,1,0,0
5,14384,0.898,0.498,0.442,0,0.0031899999999999997,10,0.0974,-9.481,Major,01-01-1968,0.0337,109.619,0.355,1968,2.6,low,109.619,1,January,1,1,0,0,0
6,954,0.259,0.62,0.758,0,0.00132,5,0.41600000000000004,-8.183,Major,13-11-1942,0.0343,119.258,0.912,1942,2.4,very low,119.258,11,November,0,0,0,0,0
7,5930,0.124,0.879,0.628,1,0.0,1,0.0661,-6.667999999999999,Minor,01-01-2005,0.264,150.105,0.721,2005,3.5,average,-150.105,1,January,2,1,1,0,0
8,11900,0.149,0.6970000000000001,0.184,1,0.0,2,0.0763,-23.303,Minor,01-01-1945,0.9329999999999999,133.997,0.613,1945,1.6,very low,-133.997,1,January,0,0,0,0,0
9,14498,0.47,0.5870000000000001,0.5660000000000001,0,0.0,9,0.0644,-9.932,Major,01-01-1999,0.0276,76.054,0.529,1999,7.7,high,76.054,1,January,3,1,1,1,0
10,2411,0.02,0.6709999999999999,0.8079999999999999,0,0.0,2,0.134,-4.861000000000001,Minor,16-09-2011,0.0652,121.956,0.637,2011,3.4,high,-121.956,9,September,3,1,1,1,0
11,13448,3.3600000000000004e-05,0.496,0.8340000000000001,0,0.0344,2,0.127,-6.626,Minor,14-12-2018,0.0521,131.998,0.484,2018,1.5,very low,-131.998,12,December,0,0,0,0,0
12,5068,0.0878,0.628,0.685,0,0.0136,7,0.0542,-14.747,Major,01-11-1969,0.035,134.32399999999998,0.813,1969,3.4,low,134.32399999999998,1,January,1,1,0,0,0
13,12068,0.624,0.66,0.746,0,1.49e-06,11,0.946,-7.696000000000001,Minor,01-01-1980,0.04,123.74700000000001,0.797,1980,4.1,average,-123.74700000000001,1,January,2,1,1,0,0
14,6431,0.426,0.615,0.831,0,7.26e-05,1,0.184,-9.394,Major,01-01-1988,0.0311,135.114,0.914,1988,3.2,average,135.114,1,January,2,1,1,0,0
15,3217,0.002,0.19699999999999998,0.6609999999999999,0,0.00466,9,0.235,-8.954,Major,08-03-1974,0.0644,172.274,0.39899999999999997,1974,4.4,very low,172.274,8,August,0,0,0,0,0
